"Hour", "Element", "Normal Amps", "Emerg Amps", "% Normal", "% Emerg", "kVBase", "I1(A)", "I2(A)", "I3(A)"
426, "Line.l3", 400, 600, 119.654830748541, 79.7698871656937, 2.40177711982884, 478.619322994162, 312.200955145014, 357.580792846078 
426, "Line.l7", 400, 600, 117.847571627755, 78.5650477518366, 2.40177711982884, 471.390286511019, 312.201137136803, 357.580937908196 
426, "Line.l10", 400, 600, 108.753998953417, 72.5026659689449, 2.40177711982884, 435.015995813669, 305.142289416862, 357.581032103527 
426, "Line.sw1", 400, 600, 123.250305167067, 82.1668701113781, 2.40177711982884, 493.001220668269, 319.263846452015, 393.63023220668 
427, "Line.l115", 400, 600, 125.296298565411, 83.5308657102738, 2.40177711982884, 501.185194261643, 324.622824729374, 400.166509018328 
427, "Line.l3", 400, 600, 121.642741529888, 81.0951610199252, 2.40177711982884, 486.570966119551, 317.442465451057, 363.522976397182 
427, "Line.l7", 400, 600, 119.8059792073, 79.8706528048664, 2.40177711982884, 479.223916829198, 317.44265333419, 363.523125947392 
427, "Line.l10", 400, 600, 110.566219488709, 73.710812992473, 2.40177711982884, 442.264877954838, 310.265354954611, 363.523223092375 
427, "Line.sw1", 400, 600, 125.296298646311, 83.5308657642073, 2.40177711982884, 501.185194585244, 324.622824448502, 400.166509718079 
428, "Line.l115", 400, 600, 121.773008215719, 81.1820054771458, 2.40177711982884, 487.092032862875, 315.407219979066, 388.935521089263 
428, "Line.l3", 400, 600, 118.219432238031, 78.8129548253542, 2.40177711982884, 472.877728952125, 308.429077394361, 353.314247986209 
428, "Line.l7", 400, 600, 116.4334688652, 77.6223125768002, 2.40177711982884, 465.733875460801, 308.429255016349, 353.314389728846 
428, "Line.l10", 400, 600, 107.445408895853, 71.6302725972354, 2.40177711982884, 429.781635583412, 301.455885600892, 353.314481741576 
428, "Line.sw1", 400, 600, 121.773008120125, 81.1820054134168, 2.40177711982884, 487.092032480501, 315.407219665988, 388.935521743502 
429, "Line.l115", 400, 600, 117.345464297739, 78.2303095318261, 2.40177711982884, 469.381857190957, 303.881246793903, 374.846485651889 
429, "Line.l3", 400, 600, 113.917757021381, 75.9451713475876, 2.40177711982884, 455.671028085526, 297.158031467113, 340.513709545669 
429, "Line.l7", 400, 600, 112.195759998716, 74.7971733324775, 2.40177711982884, 448.783039994865, 297.15819533308, 340.513840808938 
429, "Line.l10", 400, 600, 103.524937602838, 69.0166250685587, 2.40177711982884, 414.099750411352, 290.441834960279, 340.513925926577 
429, "Line.sw1", 400, 600, 117.345464221183, 78.2303094807886, 2.40177711982884, 469.381856884731, 303.881246636462, 374.846485700028 
430, "Line.l115", 400, 600, 108.848521877924, 72.5656812519496, 2.40177711982884, 435.394087511698, 281.831398013934, 347.644277067146 
430, "Line.l3", 400, 600, 105.663867856541, 70.4425785710273, 2.40177711982884, 422.655471426164, 275.602924893515, 315.778378231721 
430, "Line.l7", 400, 600, 104.065288537425, 69.3768590249499, 2.40177711982884, 416.261154149699, 275.603059130224, 315.778490183396 
430, "Line.sw1", 400, 600, 108.848521950984, 72.5656813006559, 2.40177711982884, 435.394087803935, 281.831397735318, 347.644277409384 
440, "Line.l115", 400, 600, 107.355406105488, 71.570270736992, 2.40177711982884, 429.421624421952, 278.299292543744, 343.249297299137 
