"Hour", kWh, kvarh, "Peak kW", "peak kVA", "Losses kWh", "Losses kvarh", "Peak Losses kW"
152, 2598.43929462751, 701.504285971431, 3271.84309939249, 3455.58370440679, 50.719339357234, 101.348955092812, 79.0608132174687
153, 2629.96384558401, 721.540624860229, 3271.84309939249, 3455.58370440679, 51.9500187488332, 103.826051946937, 79.0608132174687
154, 2687.98518830269, 747.206115322163, 3271.84309939249, 3455.58370440679, 53.6083930815299, 107.150239043893, 79.0608132174687
155, 2694.43054457166, 751.31077465316, 3271.84309939249, 3455.58370440679, 53.8653771578596, 107.667495545733, 79.0608132174687
156, 2682.32686778818, 743.601308203784, 3271.84309939249, 3455.58370440679, 53.3832855270396, 106.697054466764, 79.0608132174687
157, 2628.49397031361, 709.376451263789, 3271.84309939249, 3455.58370440679, 51.2690303433768, 102.438672142627, 79.0608132174687
158, 2613.90185287986, 700.108244561903, 3271.84309939249, 3455.58370440679, 50.7060323619046, 101.305482715337, 79.0608132174687
159, 2588.37138113916, 683.907026890638, 3271.84309939249, 3455.58370440679, 49.7299954559053, 99.3406565001889, 79.0608132174687
160, 2597.94955669351, 689.986215178911, 3271.84309939249, 3455.58370440679, 50.0939668059099, 100.073001298487, 79.0608132174687
161, 2738.65040332923, 779.514490602018, 3271.84309939249, 3455.58370440679, 55.6511167049171, 111.261525267371, 79.0608132174687
162, 3145.8700058157, 1023.16034862299, 3271.84309939249, 3455.58370440679, 72.8280031192614, 145.845738018604, 79.0608132174687
163, 3272.93515334597, 1105.77397123404, 3272.93515334597, 3455.58370440679, 79.044478015515, 158.370156262549, 79.0608132174687
164, 3214.68418115162, 1067.84706923031, 3272.93515334597, 3455.58370440679, 76.1572971105146, 152.553350083942, 79.0608132174687
165, 3087.09307132817, 985.101315441236, 3272.93515334597, 3455.58370440679, 70.0539730224627, 140.25513846173, 79.0608132174687
166, 2838.31983461868, 831.820793736323, 3272.93515334597, 3455.58370440679, 59.0746469484605, 118.138997222279, 79.0608132174687
167, 2471.60116088125, 612.535333964122, 3272.93515334597, 3455.58370440679, 44.9117244343186, 89.6103420733128, 79.0608132174687
168, 2105.43276026786, 401.136033010956, 3272.93515334597, 3455.58370440679, 33.4998088758138, 66.6677881791447, 79.0608132174687
169, 1876.80450841416, 270.388753892263, 3272.93515334597, 3455.58370440679, 27.5241266322839, 54.6635221064651, 79.0608132174687
170, 1755.18490137638, 195.718865199516, 3272.93515334597, 3455.58370440679, 24.5525175723923, 48.6898241480981, 79.0608132174687
171, 1697.2630368815, 160.284317341205, 3272.93515334597, 3455.58370440679, 23.232669142455, 46.0372011847664, 79.0608132174687
172, 1681.65547479634, 150.759187969584, 3272.93515334597, 3455.58370440679, 22.8870859594579, 45.3425217269138, 79.0608132174687
173, 1736.59237680937, 184.345075915442, 3272.93515334597, 3455.58370440679, 24.121593964885, 47.8234512678391, 79.0608132174687
174, 1919.74445217451, 296.843069480286, 3272.93515334597, 3455.58370440679, 28.6382159172261, 56.9035081894862, 79.0608132174687
175, 2287.17377518288, 515.179787110357, 3272.93515334597, 3455.58370440679, 39.5649747026878, 78.8988007755029, 79.0608132174687
176, 2613.26988986147, 710.926757154411, 3272.93515334597, 3455.58370440679, 51.296702287991, 102.511437819853, 79.0608132174687
177, 2628.7741743691, 720.783731920519, 3272.93515334597, 3455.58370440679, 51.9036040329771, 103.732783870629, 79.0608132174687
178, 2646.31633972099, 731.943737491943, 3272.93515334597, 3455.58370440679, 52.5969729659536, 105.128853510352, 79.0608132174687
179, 2684.2628638745, 744.835805537604, 3272.93515334597, 3455.58370440679, 53.4601303595796, 106.85172031848, 79.0608132174687
180, 2665.7170975183, 733.040935493402, 3272.93515334597, 3455.58370440679, 52.7244485067026, 105.368881717872, 79.0608132174687
181, 2613.62100350763, 699.930854616434, 3272.93515334597, 3455.58370440679, 50.6949749205125, 101.283116740583, 79.0608132174687
182, 2573.02988409632, 674.177407924111, 3272.93515334597, 3455.58370440679, 49.1495494194145, 98.1723097773936, 79.0608132174687
183, 2569.69443783124, 672.069113097354, 3272.93515334597, 3455.58370440679, 49.0229261637281, 97.9169904687052, 79.0608132174687
184, 2572.1592534872, 673.632005168497, 3272.93515334597, 3455.58370440679, 49.1156449527745, 98.1035768398574, 79.0608132174687
185, 2737.15639614634, 778.561314809629, 3272.93515334597, 3455.58370440679, 55.5900882674429, 111.138606973252, 79.0608132174687
186, 3069.34041719511, 992.0097623028, 3272.93515334597, 3455.58370440679, 70.1809170063898, 140.526446989603, 79.0608132174687
187, 3206.67487229961, 1062.64055191522, 3272.93515334597, 3455.58370440679, 75.7651932756342, 151.763332291842, 79.0608132174687
188, 3161.35192737876, 1033.20158857155, 3272.93515334597, 3455.58370440679, 73.5691862307056, 147.338947873574, 79.0608132174687
189, 3035.75286868153, 951.924292389115, 3272.93515334597, 3455.58370440679, 67.6850423745599, 135.48315667352, 79.0608132174687
190, 2801.70222945175, 808.442417148486, 3272.93515334597, 3455.58370440679, 57.554071498653, 115.075766061848, 79.0608132174687
191, 2446.94012681644, 597.004780412944, 3272.93515334597, 3455.58370440679, 44.0438310209666, 87.8639652782138, 79.0608132174687
192, 2103.94663632984, 400.213173908795, 3272.93515334597, 3455.58370440679, 33.4562940854167, 66.580275579482, 79.0608132174687
193, 1860.79334044874, 260.535942133248, 3272.93515334597, 3455.58370440679, 27.1175625597072, 53.8462274046521, 79.0608132174687
194, 1737.1697959539, 184.691031976144, 3272.93515334597, 3455.58370440679, 24.1353347509728, 47.8512851468915, 79.0608132174687
195, 1670.12513458286, 143.714112055347, 3272.93515334597, 3455.58370440679, 22.6352178508975, 44.8365055402149, 79.0608132174687
196, 1648.34348893282, 130.436125961108, 3272.93515334597, 3455.58370440679, 22.1650325459559, 43.8914652689503, 79.0608132174687
197, 1691.69356170261, 156.897006917217, 3272.93515334597, 3455.58370440679, 23.1082209168508, 45.7867552721977, 79.0608132174687
198, 1873.36173631069, 268.269353353671, 3272.93515334597, 3455.58370440679, 27.4363013137695, 54.486957391897, 79.0608132174687
199, 2219.19126335442, 475.970280958674, 3272.93515334597, 3455.58370440679, 37.3467313241937, 74.4181839063843, 79.0608132174687
200, 2575.42371620909, 690.238217252751, 3272.93515334597, 3455.58370440679, 49.8414047177255, 99.5832464951368, 79.0608132174687
201, 2597.94530376515, 701.190535202908, 3272.93515334597, 3455.58370440679, 50.7001815531892, 101.310383827948, 79.0608132174687
202, 2656.49073786096, 738.419862165291, 3272.93515334597, 3455.58370440679, 53.0021764763236, 105.944886834196, 79.0608132174687
